label	endpoint	requests	concurrency	errors	p50_ms	p95_ms	p99_ms	mean_ms	rps	cpu_cores	ioctl
agent-off	direct	4000	16	0	24.111	29.536	39.933	26.065	604.9	3.313	28018
agent-off	hop	4000	16	0	55.997	60.285	68.688	57.74	275.5	2.107	28010
agent-on	direct	4000	16	0	24.727	31.624	41.416	26.824	586.7	3.411	308436
agent-on	hop	4000	16	0	56.031	60.49	79.869	57.999	274.3	2.207	334430
agent-on	direct	4000	16	0	24.349	29.666	42.332	26.447	596.3	3.424	308776
agent-on	hop	4000	16	0	55.88	59.225	76.933	57.727	275.5	2.311	338133
agent-off	direct	4000	16	0	24.469	29.713	38.921	26.331	600.1	3.360	28019
agent-off	hop	4000	16	0	55.844	59.917	67.655	57.627	276.2	2.076	28007
agent-off	direct	4000	16	0	24.329	30.727	37.5	26.263	598.0	3.384	28024
agent-off	hop	4000	16	0	55.947	60.738	74.794	57.844	274.9	2.163	28003
agent-on	direct	4000	16	0	24.625	30.735	39.101	26.512	595.5	3.398	309119
agent-on	hop	4000	16	0	55.983	60.336	80.437	58.046	273.9	2.429	336821
agent-on	direct	4000	16	0	24.388	29.807	40.994	26.331	601.2	3.406	308617
agent-on	hop	4000	16	0	56.097	60.532	77.698	58.031	273.9	2.228	335630
agent-off	direct	4000	16	0	24.002	28.753	40.97	25.942	610.4	3.294	28006
agent-off	hop	4000	16	0	55.792	59.691	67.83	57.58	275.0	2.051	28007
agent-off	direct	4000	16	0	24.182	29.73	37.21	26.069	606.5	3.357	28020
agent-off	hop	4000	16	0	55.866	60.267	70.185	57.89	274.3	2.051	28005
agent-on	direct	4000	16	0	24.726	30.713	37.218	26.639	591.9	3.446	308392
agent-on	hop	4000	16	0	56.086	60.719	78.74	58.153	273.2	2.327	336033
